epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,979.08,1.23781,0.89122,1.24134,0.68929,0.5955,0.58908,0.36926,3.11414,3.06964,2.96025,0.000127467,0.000127467,0.000127467
140,986.138,1.25114,0.93077,1.25248,0.68412,0.5955,0.59601,0.381,3.11406,3.0964,2.94668,0.000118035,0.000118035,0.000118035
141,995.023,1.29563,0.92255,1.32689,0.68072,0.59307,0.59219,0.39516,3.09416,3.08472,2.95403,0.000108604,0.000108604,0.000108604
142,1002.71,1.26599,0.90042,1.30485,0.67575,0.59307,0.60565,0.4015,3.09345,3.02898,2.97927,9.91726e-05,9.91726e-05,9.91726e-05
143,1010.22,1.17016,0.83724,1.25962,0.66375,0.59307,0.60519,0.38373,3.11466,2.96462,3.01917,8.97412e-05,8.97412e-05,8.97412e-05
144,1016.98,1.20697,0.86572,1.28875,0.68303,0.5955,0.6089,0.3986,3.13768,2.96387,3.02523,8.03098e-05,8.03098e-05,8.03098e-05
145,1023.76,1.1838,0.84376,1.26108,0.68886,0.5955,0.60659,0.39873,3.13304,2.98765,3.00306,7.08784e-05,7.08784e-05,7.08784e-05
146,1030.62,1.12771,0.76663,1.23414,0.67256,0.5955,0.6068,0.40479,3.11829,3.02549,2.96139,6.1447e-05,6.1447e-05,6.1447e-05
147,1037.73,1.11556,0.78087,1.22284,0.67954,0.5955,0.60667,0.39695,3.11436,3.07348,2.9295,5.20156e-05,5.20156e-05,5.20156e-05
148,1044.54,1.11523,0.77543,1.22176,0.66769,0.59307,0.59664,0.39859,3.12411,3.06553,2.93617,4.25842e-05,4.25842e-05,4.25842e-05
149,1051.49,1.15161,0.80717,1.22232,0.67274,0.59307,0.59049,0.39568,3.12618,3.05119,2.95559,3.31528e-05,3.31528e-05,3.31528e-05
150,1058.1,1.1409,0.8044,1.2411,0.67488,0.59307,0.5915,0.40494,3.13132,3.05253,2.96651,2.37214e-05,2.37214e-05,2.37214e-05
